list-none-m,1,1000,1,3000,4637663,1545,57
list-none-s,1,1000,1,3000,4549272,1516,50
list-none-m,2,1000,1,6000,24115830,4019,2918
list-none-s,2,1000,1,6000,43902942,7317,5431
list-none-m,4,1000,1,12000,102131596,8510,18673
list-none-s,4,1000,1,12000,1118578575,93214,125573
list-none-m,8,1000,1,24000,466069872,19419,101222
list-none-s,8,1000,1,24000,1508433808,62851,221669
list-none-m,12,1000,1,36000,1137127450,31586,422364
list-none-s,12,1000,1,36000,1066810509,29633,450066
list-none-m,16,1000,1,48000,2990629255,62304,860415
list-none-s,16,1000,1,48000,2721810639,56704,1704461
list-none-m,24,1000,1,72000,5690046965,79028,36322599
list-none-s,24,1000,1,72000,8209574914,114021,4609108
list-id-none,1,1,4,3,593798,197932,0
list-id-none,1,2,4,6,567179,94529,0
list-id-none,1,4,4,12,570388,47532,0
list-id-none,1,8,4,24,580958,24206,0
list-id-none,1,16,4,48,649396,13529,0
list-id-none,4,2,4,24,884490,36853,0
list-id-none,4,4,4,48,680975,14186,0
list-id-none,8,1,4,24,800933,33372,0
list-id-none,8,2,4,48,782388,16299,0
list-id-none,8,4,4,96,667571,6953,0
list-id-none,12,1,4,36,2551232,70867,0
list-id-none,12,2,4,72,1080286,15003,0
list-id-none,16,1,4,48,2217011,46187,0
list-id-none,16,2,4,96,3125756,32559,0
list-id-m,1,10,4,30,1592198,53073,850
list-id-s,1,10,4,30,689963,22998,55
list-id-m,1,20,4,60,576822,9613,64
list-id-s,1,20,4,60,579493,9658,43
list-id-m,1,40,4,120,606138,5051,50
list-id-s,1,40,4,120,593457,4945,41
list-id-m,1,80,4,240,765895,3191,49
list-id-s,1,80,4,240,709288,2955,41
list-id-m,4,10,4,120,656313,5469,455
list-id-s,4,10,4,120,672088,5600,259
list-id-m,4,20,4,240,1475723,6148,7003
list-id-s,4,20,4,240,868676,3619,714
list-id-m,4,40,4,480,8191008,17064,14601
list-id-s,4,40,4,480,879539,1832,1088
list-id-m,4,80,4,960,2627372,2736,6243
list-id-s,4,80,4,960,2228178,2321,2281
list-id-m,8,10,4,240,1869884,7791,4216
list-id-s,8,10,4,240,1466606,6110,13145
list-id-m,8,20,4,480,2032686,4234,7256
list-id-s,8,20,4,480,945821,1970,1161
list-id-m,8,40,4,960,2656149,2766,12309
list-id-s,8,40,4,960,1518887,1582,4789
list-id-m,8,80,4,1920,5179235,2697,10490
list-id-s,8,80,4,1920,2569191,1338,5323
list-id-m,12,10,4,360,2438782,6774,44365
list-id-s,12,10,4,360,4973406,13815,61434
list-id-m,12,20,4,720,4297748,5969,48656
list-id-s,12,20,4,720,24048886,33401,266857
list-id-m,12,40,4,1440,4481439,3112,25215
list-id-s,12,40,4,1440,2026241,1407,8190
list-id-m,12,80,4,2880,9222229,3202,29717
list-id-s,12,80,4,2880,37580419,13048,216940
list-id-m,16,10,4,480,2437078,5077,40269
list-id-s,16,10,4,480,64977938,135370,1380927
list-id-m,16,20,4,960,2155329,2245,20067
list-id-s,16,20,4,960,2035373,2120,17852
list-id-m,16,40,4,1920,42656912,22217,41832
list-id-s,16,40,4,1920,89770906,46755,511555
list-id-m,16,80,4,3840,13120182,3416,34966
list-id-s,16,80,4,3840,1133541253,295193,14412403
list-none-m,1,1000,4,3000,5921203,1973,80
list-none-s,1,1000,4,3000,1967674,655,40
list-none-m,1,1000,8,3000,1564548,521,43
list-none-s,1,1000,8,3000,1633252,544,37
list-none-m,1,1000,16,3000,1544852,514,41
list-none-s,1,1000,16,3000,2550140,850,37
list-none-m,2,1000,4,6000,20197956,3366,1869
list-none-s,2,1000,4,6000,10789908,1798,674
list-none-m,2,1000,8,6000,8362487,1393,666
list-none-s,2,1000,8,6000,6788668,1131,895
list-none-m,2,1000,16,6000,4185547,697,164
list-none-s,2,1000,16,6000,3379173,563,370
list-none-m,4,1000,4,12000,31650953,2637,4919
list-none-s,4,1000,4,12000,16408703,1367,2899
list-none-m,4,1000,8,12000,18931194,1577,2604
list-none-s,4,1000,8,12000,13299405,1108,1108
list-none-m,4,1000,16,12000,12608413,1050,1559
list-none-s,4,1000,16,12000,7321031,610,584
list-none-m,8,1000,4,24000,84321913,3513,27769
list-none-s,8,1000,4,24000,57573697,2398,13926
list-none-m,8,1000,8,24000,32754151,1364,6595
list-none-s,8,1000,8,24000,23443944,976,4320
list-none-m,8,1000,16,24000,17552115,731,2208
list-none-s,8,1000,16,24000,11630284,484,1208
list-none-m,12,1000,4,36000,138805001,3855,57425
list-none-s,12,1000,4,36000,1194068523,33168,219955
list-none-m,12,1000,8,36000,105289742,2924,63850
list-none-s,12,1000,8,36000,71716325,1992,10284
list-none-m,12,1000,16,36000,63698631,1769,12307
list-none-s,12,1000,16,36000,38476758,1068,4628
