
list-none-none,1,10,1,30,173000,5766
list-none-none,1,10,1,30,115000,3833
list-none-none,1,100,1,300,113000,376
list-none-none,1,100,1,300,112000,373
list-none-none,1,1000,1,3000,3447000,1149
list-none-none,1,1000,1,3000,2433000,811
list-none-none,1,10000,1,30000,422856000,14095
list-none-none,1,10000,1,30000,-578174000,-19272
list-none-none,1,20000,1,60000,124637000,2077
list-none-none,1,20000,1,60000,143290000,2388
list-none-none,2,1,1,6,88000,14666
list-none-none,2,1,1,6,99000,16500
list-none-none,2,1,1,6,108000,18000
list-none-none,2,1,1,6,180000,30000
list-none-none,2,1,1,6,161000,26833
list-none-none,2,1,1,6,133000,22166
list-none-none,2,1,1,6,162000,27000
list-none-none,2,1,1,6,130000,21666
list-none-none,2,1,1,6,104000,17333
list-none-none,2,10,1,60,123000,2050
list-none-none,2,10,1,60,114000,1900
list-none-none,2,10,1,60,137000,2283
list-none-none,2,10,1,60,191000,3183
list-none-none,2,10,1,60,126000,2100
list-none-none,2,100,1,600,203000,338
list-none-none,2,100,1,600,177000,295
list-none-none,2,100,1,600,191000,318
list-none-none,2,100,1,600,173000,288
list-none-none,2,100,1,600,180000,300
list-none-none,2,100,1,600,228000,380
list-none-none,2,100,1,600,183000,305
list-none-none,2,100,1,600,186000,310
list-none-none,2,100,1,600,176000,293
list-none-none,2,100,1,600,186000,310
list-none-none,2,1000,1,6000,14170000,2361
list-none-none,2,1000,1,6000,10094000,1682
list-none-none,2,1000,1,6000,10017000,1669
list-none-none,2,1000,1,6000,10208000,1701
list-none-none,2,1000,1,6000,9366000,1561
list-none-none,2,1000,1,6000,9273000,1545
list-none-none,2,1000,1,6000,10223000,1703
list-none-none,4,1,1,12,137000,11416
list-none-none,4,1,1,12,142000,11833
list-none-none,4,1,1,12,140000,11666
list-none-none,4,10,1,120,142000,1183
list-none-none,4,10,1,120,139000,1158
list-none-none,4,10,1,120,143000,1191
list-none-none,4,1000,1,12000,20056000,1671
list-none-none,8,1,1,24,249000,10375
list-none-none,8,1,1,24,179000,7458
list-none-none,8,100,1,2400,807000,336
list-none-none,12,1,1,36,279000,7750
list-none-none,12,1,1,36,300000,8333
list-i-none,2,1,1,6,173000,28833
list-i-none,2,1,1,6,167000,27833
list-i-none,2,1,1,6,163000,27166
list-i-none,2,1,1,6,142000,23666
list-i-none,2,1,1,6,166000,27666
list-i-none,2,1,1,6,171000,28500
list-i-none,2,1,1,6,131000,21833
list-i-none,2,1,1,6,174000,29000
list-i-none,2,1,1,6,167000,27833
list-i-none,2,1,1,6,152000,25333
list-d-none,2,1,1,6,203000,33833
list-d-none,2,1,1,6,166000,27666
list-d-none,2,1,1,6,159000,26500
list-d-none,2,1,1,6,86000,14333
list-d-none,2,1,1,6,100000,16666
list-il-none,2,1,1,6,143000,23833
list-il-none,2,1,1,6,144000,24000
list-il-none,2,1,1,6,147000,24500
list-il-none,2,1,1,6,177000,29500
list-il-none,2,1,1,6,139000,23166
list-il-none,2,1,1,6,167000,27833
list-il-none,2,1,1,6,146000,24333
list-il-none,2,1,1,6,140000,23333
list-il-none,2,1,1,6,167000,27833
list-il-none,2,1,1,6,168000,28000
list-dl-none,2,1,1,6,97000,16166
list-dl-none,2,1,1,6,107000,17833
list-dl-none,2,1,1,6,191000,31833
list-dl-none,2,1,1,6,135000,22500
list-dl-none,2,1,1,6,182000,30333
list-dl-none,2,1,1,6,160000,26666
list-dl-none,2,1,1,6,165000,27500
list-dl-none,2,1,1,6,156000,26000
list-dl-none,2,1,1,6,142000,23666
list-dl-none,2,1,1,6,153000,25500
list-i-none,2,2,1,12,144000,12000
list-i-none,2,2,1,12,141000,11750
list-i-none,2,2,1,12,160000,13333
list-i-none,2,2,1,12,169000,14083
list-i-none,2,2,1,12,167000,13916
list-i-none,2,2,1,12,171000,14250
list-i-none,2,2,1,12,110000,9166
list-i-none,2,2,1,12,112000,9333
list-d-none,2,2,1,12,150000,12500
list-d-none,2,2,1,12,149000,12416
list-d-none,2,2,1,12,146000,12166
list-d-none,2,2,1,12,146000,12166
list-d-none,2,2,1,12,149000,12416
list-d-none,2,2,1,12,208000,17333
list-d-none,2,2,1,12,149000,12416
list-il-none,2,2,1,12,191000,15916
list-il-none,2,2,1,12,185000,15416
list-il-none,2,2,1,12,166000,13833
list-il-none,2,2,1,12,179000,14916
list-il-none,2,2,1,12,126000,10500
list-il-none,2,2,1,12,119000,9916
list-il-none,2,2,1,12,117000,9750
list-il-none,2,2,1,12,114000,9500
list-il-none,2,2,1,12,114000,9500
list-il-none,2,2,1,12,117000,9750
list-dl-none,2,2,1,12,147000,12250
list-dl-none,2,2,1,12,147000,12250
list-dl-none,2,2,1,12,143000,11916
list-dl-none,2,2,1,12,196000,16333
list-dl-none,2,2,1,12,157000,13083
list-dl-none,2,2,1,12,175000,14583
list-dl-none,2,2,1,12,137000,11416
list-dl-none,2,2,1,12,135000,11250
list-dl-none,2,2,1,12,170000,14166
list-dl-none,2,2,1,12,205000,17083
list-i-none,2,4,1,24,222000,9250
list-i-none,2,4,1,24,153000,6375
